"","uniqueID","err_prop_by_ID","err_count_by_ID","err_in_ID","oct_jump_prop_by_ID","oct_jump_count_by_ID","oct_jump_in_ID"
"113","11749_MELANIE_FMM_Helena_100_hlh",0,0,0,0,0,0
"114","11749_MELANIE_FMM_Helena_135_hll",0,0,0,0,0,0
"115","11749_MELANIE_FMM_Jeremy_061_llh",0,0,0,0,0,0
"116","11749_MELANIE_FMM_Jeremy_071_hhl",0,0,0,0,0,0
"117","11749_MELANIE_FMM_Jeremy_082_hhh",0,0,0,0,0,0
"118","11749_MELANIE_FMM_Jeremy_106_lll",0,0,0,0,0,0
"119","11749_MELANIE_FMM_Jeremy_141_lhl",0,0,0,0,0,0
"120","11749_MELANIE_FMM_Marilyn_107_lhh",0,0,0,0,0,0
"121","11749_MELANIE_MFF_Helena_023_lhl",0,0,0,0,0,0
"122","11749_MELANIE_MFF_Helena_031_hhl",0,0,0,0,0,0
"123","11749_MELANIE_MFF_Helena_068_hll",0,0,0,0,0,0
"124","11749_MELANIE_MFF_Helena_120_lhh",0,0,0,0,0,0
"125","11749_MELANIE_MFF_Jeremy_034_hhh",0,0,0,0,0,0
"126","11749_MELANIE_MFF_Jeremy_064_lll",0,0,0,0,0,0
"127","11749_MELANIE_MFF_Marilyn_041_llh",0,0,0,0,0,0
"128","11749_MELANIE_MFF_Marilyn_129_hlh",0,0,0,0,0,0
"129","11749_MELANIE_MFM_Helena_093_lhl",0,0,0,0,0,0
"130","11749_MELANIE_MFM_Jeremy_005_llh",0,0,0,0,0,0
"131","11749_MELANIE_MFM_Jeremy_019_hhl",0,0,0,0,0,0
"132","11749_MELANIE_MFM_Jeremy_103_hhh",0,0,0,0,0,0
"133","11749_MELANIE_MFM_Jeremy_124_hll",0,0,0,0,0,0
"134","11749_MELANIE_MFM_Marilyn_028_lll",0,0,0,0,0,0
"135","11749_MELANIE_MFM_Marilyn_039_hlh",0,0,0,0,0,0
"136","11749_MELANIE_MFM_Marilyn_086_lhh",0,0,0,0,0,0
"137","11749_MELANIE_MMF_Helena_055_llh",0,0,0,0,0,0
"138","11749_MELANIE_MMF_Helena_056_hhl",0,0,0,0,0,0
"139","11749_MELANIE_MMF_Helena_072_hll",0,0,0,0,0,0
"140","11749_MELANIE_MMF_Helena_113_lll",0,0,0,0,0,0
"141","11749_MELANIE_MMF_Jeremy_002_hhh",0,0,0,0,0,0
"142","11749_MELANIE_MMF_Jeremy_090_lhl",0,0,0,0,0,0
"143","11749_MELANIE_MMF_Jeremy_119_hlh",0,0,0,0,0,0
"144","11749_MELANIE_MMF_Marilyn_080_lhh",0,0,0,0,0,0
"145","14542_HARMONY_FFM_Helena_002_hlh",0.185185185185185,10,1,0,0,1
"146","14542_HARMONY_FFM_Helena_005_hhl",0,0,0,0,0,0
"147","14542_HARMONY_FFM_Helena_058_llh",0,0,0,0,0,0
"148","14542_HARMONY_FFM_Helena_089_lhh",0,0,0,0,0,0
"149","14542_HARMONY_FFM_Helena_122_hhh",0,0,0,0,0,0
"150","14542_HARMONY_FFM_Jeremy_063_lll",0.04,2,1,0,0,1
"151","14542_HARMONY_FFM_Jeremy_085_hll",0.0769230769230769,4,1,0,0,1
"152","14542_HARMONY_FFM_Marilyn_077_lhl",0,0,0,0,0,0
"153","14542_HARMONY_FMF_Helena_047_hhl",0,0,0,0,0,0
"154","14542_HARMONY_FMF_Helena_107_lhl",0,0,0,0,0,0
"155","14542_HARMONY_FMF_Jeremy_034_hhh",0,0,0,0,0,0
"156","14542_HARMONY_FMF_Jeremy_065_lhh",0,0,0,0,0,0
"157","14542_HARMONY_FMF_Marilyn_019_lll",0.0833333333333333,4,1,0,0,1
"158","14542_HARMONY_FMF_Marilyn_029_hll",0.175438596491228,10,1,0,0,1
"159","14542_HARMONY_FMF_Marilyn_062_hlh",0,0,0,0,0,0
"160","14542_HARMONY_FMF_Marilyn_141_llh",0,0,0,0,0,0
"161","14542_HARMONY_FMM_Helena_003_llh",0,0,0,0,0,0
"162","14542_HARMONY_FMM_Helena_024_hll",0.274509803921569,14,1,0,0,1
"163","14542_HARMONY_FMM_Helena_054_lhh",0,0,0,0,0,0
"164","14542_HARMONY_FMM_Helena_120_lhl",0,0,0,0,0,0
"165","14542_HARMONY_FMM_Jeremy_039_lll",0.0208333333333333,1,1,0,0,1
"166","14542_HARMONY_FMM_Jeremy_067_hhh",0.0196078431372549,1,1,0,0,1
"167","14542_HARMONY_FMM_Jeremy_087_hlh",0,0,0,0,0,0
"168","14542_HARMONY_FMM_Marilyn_017_hhl",0,0,0,0,0,0
"169","14542_HARMONY_MFF_Helena_030_hll",0.0192307692307692,1,1,0,0,1
"170","14542_HARMONY_MFF_Jeremy_016_lll",0.185185185185185,10,1,0,0,1
"171","14542_HARMONY_MFF_Jeremy_112_llh",0,0,0,0,0,0
"172","14542_HARMONY_MFF_Jeremy_119_hhl",0.0181818181818182,1,1,0,0,1
"173","14542_HARMONY_MFF_Jeremy_125_lhl",0,0,0,0,0,0
"174","14542_HARMONY_MFF_Jeremy_132_lhh",0,0,0,0,0,0
"175","14542_HARMONY_MFF_Marilyn_028_hlh",0.0961538461538462,5,1,0,0,1
"176","14542_HARMONY_MFF_Marilyn_117_hhh",0,0,0,0,0,0
"177","14542_HARMONY_MFM_Helena_025_hhl",0,0,0,0,0,0
"178","14542_HARMONY_MFM_Helena_042_hhh",0,0,0,0,0,0
"179","14542_HARMONY_MFM_Helena_053_lhh",0,0,0,0,0,0
"180","14542_HARMONY_MFM_Helena_134_hlh",0.0196078431372549,1,1,0,0,1
"181","14542_HARMONY_MFM_Jeremy_049_lhl",0,0,0,0,0,0
"182","14542_HARMONY_MFM_Jeremy_129_lll",0.0566037735849057,3,1,0,0,1
"183","14542_HARMONY_MFM_Jeremy_131_hll",0.0851063829787234,4,1,0,0,1
"184","14542_HARMONY_MFM_Marilyn_031_llh",0.06,3,1,0,0,1
"185","14542_HARMONY_MMF_Helena_021_llh",0,0,0,0,0,0
"186","14542_HARMONY_MMF_Helena_035_lll",0,0,0,0,0,0
"187","14542_HARMONY_MMF_Jeremy_001_hlh",0.169811320754717,9,1,0,0,1
"188","14542_HARMONY_MMF_Jeremy_090_hhh",0,0,0,0,0,0
"189","14542_HARMONY_MMF_Jeremy_139_lhl",0,0,0,0,0,0
"190","14542_HARMONY_MMF_Marilyn_007_lhh",0.0192307692307692,1,1,0,0,1
"191","14542_HARMONY_MMF_Marilyn_010_hhl",0,0,0,0,0,0
"192","14542_HARMONY_MMF_Marilyn_110_hll",0.0588235294117647,3,1,0,0,1
"193","14542_MADELYN_FFM_Helena_041_hhl",0,0,0,0,0,0
"194","14542_MADELYN_FFM_Helena_078_hll",0,0,0,0,0,0
