Filename,t_ms,F0,ST,lead_ST,ST_diff,ST_jump,ST_jump_trial_mean,ST_jump_count,ST_jump_in_trial
file15,810,248.159,15.73517733488283,15.73517733488283,0,0,0.06976744186046512,9,1
file15,820,248.159,15.73517733488283,15.73517733488283,0,0,0.06976744186046512,9,1
file15,830,248.159,15.73517733488283,15.73517733488283,0,0,0.06976744186046512,9,1
file15,840,248.159,15.73517733488283,15.73517733488283,0,0,0.06976744186046512,9,1
file15,850,248.159,15.73517733488283,15.73517733488283,0,0,0.06976744186046512,9,1
file15,860,248.159,15.73517733488283,15.684804930288484,-0.050372404594345,0,0.06976744186046512,9,1
file15,870,247.438,15.684804930288484,17.81825745890871,2.133452528620227,1,0.06976744186046512,9,1
file15,880,279.889,17.81825745890871,15.646631198961598,-2.1716262599471126,1,0.06976744186046512,9,1
file15,890,246.893,15.646631198961598,15.869368459654472,0.22273726069287392,0,0.06976744186046512,9,1
file15,900,250.09,15.869368459654472,15.608654209995706,-0.26071424965876666,0,0.06976744186046512,9,1
file15,910,246.352,15.608654209995706,15.319389224083213,-0.2892649859124923,0,0.06976744186046512,9,1
file15,920,242.27,15.319389224083213,15.256892962559272,-0.0624962615239415,0,0.06976744186046512,9,1
file15,930,241.397,15.256892962559272,14.948503361678068,-0.3083896008812044,0,0.06976744186046512,9,1
file15,940,237.135,14.948503361678068,14.801135324981631,-0.14736803669643628,0,0.06976744186046512,9,1
file15,950,235.125,14.801135324981631,14.801135324981631,0,0,0.06976744186046512,9,1
file15,950,235.125,14.801135324981631,14.663935138296026,-0.13720018668560563,0,0.06976744186046512,9,1
file15,960,233.269,14.663935138296026,14.383513906927782,-0.28042123136824415,0,0.06976744186046512,9,1
file15,970,229.521,14.383513906927782,14.480543779687336,0.09702987275955444,0,0.06976744186046512,9,1
file15,980,230.811,14.480543779687336,14.517856810509587,0.03731303082225068,0,0.06976744186046512,9,1
file15,990,231.309,14.517856810509587,14.397839323627453,-0.12001748688213354,0,0.06976744186046512,9,1
file15,1000,229.711,14.397839323627453,14.34288593657821,-0.054953387049243574,0,0.06976744186046512,9,1
